Player,Mins,Secs,x,y,type,outcome,endX,endY
Garnacho,1,13,5,87,Pass,Successful,3,79
Garnacho,1,13,26,3,Pass,Successful,19,3
Garnacho,1,13,44,3,Pass,Successful,39,4
Garnacho,1,13,66,3,Pass,Successful,64,8
Garnacho,1,13,54,6,Pass,Successful,63,14
Garnacho,1,13,6,3,Pass,Successful,8,11
Garnacho,1,13,25,28,Pass,Unsuccessful,18,38
